Age,RiskTolerance,InvestmentHorizon,Equity%,Bond%,VTI%,VB%,VEA%,VSS%,VWO%,BND%,BNDX%
71,high,medium,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
71,high,long,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
72,low,short,18,82,8.0,2.0,4.4,1.0,2.6,49.2,32.8
72,low,medium,28,72,12.4,3.1,6.8,1.6,4.0,43.2,28.8
72,low,long,33,67,14.7,3.7,8.1,1.8,4.8,40.2,26.8
72,moderate,short,28,72,12.4,3.1,6.8,1.6,4.0,43.2,28.8
72,moderate,medium,38,62,16.9,4.2,9.3,2.1,5.5,37.2,24.8
72,moderate,long,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
72,high,short,33,67,14.7,3.7,8.1,1.8,4.8,40.2,26.8
72,high,medium,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
72,high,long,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
73,low,short,17,83,7.5,1.9,4.1,1.0,2.4,49.8,33.2
73,low,medium,27,73,12.0,3.0,6.6,1.5,3.9,43.8,29.2
73,low,long,32,68,14.2,3.6,7.8,1.8,4.6,40.8,27.2
73,moderate,short,27,73,12.0,3.0,6.6,1.5,3.9,43.8,29.2
73,moderate,medium,37,63,16.4,4.1,9.0,2.1,5.3,37.8,25.2
73,moderate,long,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
73,high,short,32,68,14.2,3.6,7.8,1.8,4.6,40.8,27.2
73,high,medium,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
73,high,long,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
74,low,short,16,84,7.1,1.8,3.9,0.9,2.3,50.4,33.6
74,low,medium,26,74,11.5,2.9,6.3,1.5,3.7,44.4,29.6
74,low,long,31,69,13.8,3.4,7.6,1.7,4.5,41.4,27.6
74,moderate,short,26,74,11.5,2.9,6.3,1.5,3.7,44.4,29.6
74,moderate,medium,36,64,16.0,4.0,8.8,2.0,5.2,38.4,25.6
74,moderate,long,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
74,high,short,31,69,13.8,3.4,7.6,1.7,4.5,41.4,27.6
74,high,medium,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
74,high,long,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
75,low,short,15,85,6.7,1.7,3.7,0.8,2.2,51.0,34.0
75,low,medium,25,75,11.1,2.8,6.1,1.4,3.6,45.0,30.0
75,low,long,30,70,13.3,3.3,7.3,1.7,4.3,42.0,28.0
75,moderate,short,25,75,11.1,2.8,6.1,1.4,3.6,45.0,30.0
75,moderate,medium,35,65,15.5,3.9,8.5,2.0,5.0,39.0,26.0
75,moderate,long,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
75,high,short,30,70,13.3,3.3,7.3,1.7,4.3,42.0,28.0
75,high,medium,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
75,high,long,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
76,low,short,14,86,6.2,1.6,3.4,0.8,2.0,51.6,34.4
76,low,medium,24,76,10.7,2.7,5.9,1.3,3.5,45.6,30.4
76,low,long,29,71,12.9,3.2,7.1,1.6,4.2,42.6,28.4
76,moderate,short,24,76,10.7,2.7,5.9,1.3,3.5,45.6,30.4
76,moderate,medium,34,66,15.1,3.8,8.3,1.9,4.9,39.6,26.4
76,moderate,long,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
76,high,short,29,71,12.9,3.2,7.1,1.6,4.2,42.6,28.4
76,high,medium,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
